#Zeitstempel[ms];X[m];Y[m];Z[m]
1655820537062;7,316458702;9,351429939;-0,062201604
1655820537376;7,262345314;9,656013489;0,275526255
1655820537571;7,262345314;9,656013489;0,275526255
1655820537827;7,262345314;9,656013489;0,275526255
1655820538132;7,406704903;10,20866489;0,46880424
1655820538335;7,406704903;10,20866489;0,46880424
1655820543978;6,75684166;14,42477322;0,281629771
1655820544154;6,75684166;14,42477322;0,281629771
1655820544474;6,426938057;15,04664707;0,103407115
1655820544658;6,426938057;15,04664707;0,103407115
1655820544911;6,426938057;15,04664707;0,103407115
1655820545240;6,149628639;15,6336832;0,291802287
1655820545417;6,149628639;15,6336832;0,291802287
1655820545743;5,915873528;16,22941971;0,090740114
1655820545927;5,915873528;16,22941971;0,090740114
1655820546182;5,915873528;16,22941971;0,090740114
1655820546489;5,681617737;16,98946381;0,185329854
1655820546685;5,681617737;16,98946381;0,185329854
1655820547015;5,435814857;17,48638535;-0,084774926
1655820547192;5,435814857;17,48638535;-0,084774926
1655820547447;5,435814857;17,48638535;-0,084774926
1655820547767;5,301578999;18,04404449;0,040448431
1655820547955;5,301578999;18,04404449;0,040448431
1655820548206;5,301578999;18,04404449;0,040448431
1655820548548;5,026918888;18,73423576;0,26942274
1655820548713;5,026918888;18,73423576;0,26942274
1655820549039;5,153964996;19,41720772;-0,146379262
1655820549217;5,153964996;19,41720772;-0,146379262
1655820549471;5,153964996;19,41720772;-0,146379262
1655820549797;5,637396336;19,83605194;0,190436065
1655820549974;5,637396336;19,83605194;0,190436065
1655820550229;5,637396336;19,83605194;0,190436065
1655820550545;6,305830002;20,15792465;0,424045146
1655820550734;6,305830002;20,15792465;0,424045146
1655820551060;6,679481506;20,5944767;0,257001549
1655820551239;6,679481506;20,5944767;0,257001549
1655820551575;7,254096985;21,01950455;0,191530257
1655820551751;7,254096985;21,01950455;0,191530257
1655820551998;7,254096985;21,01950455;0,191530257
1655820552319;7,704364777;21,61462593;0,403700083
1655820552501;7,704364777;21,61462593;0,403700083
1655820552826;8,27877903;22,11295509;0,268066406
1655820553006;8,27877903;22,11295509;0,268066406
1655820553257;8,27877903;22,11295509;0,268066406
1655820553586;8,764526367;22,45675659;0,326388896
1655820553759;8,764526367;22,45675659;0,326388896
1655820554090;9,229685783;22,75304222;0,184877753
1655820554263;9,229685783;22,75304222;0,184877753
1655820554593;9,678395271;23,11129379;0,072753906
1655820554768;9,678395271;23,11129379;0,072753906
1655820555020;9,678395271;23,11129379;0,072753906
1655820555349;10,12734222;23,59604263;0,208387583
1655820555524;10,12734222;23,59604263;0,208387583
1655820555858;10,65549183;24,12660408;-0,099500865
1655820556029;10,65549183;24,12660408;-0,099500865
1655820556362;11,32354355;24,26008797;-0,233421281
1655820556531;11,32354355;24,26008797;-0,233421281
1655820556787;11,32354355;24,26008797;-0,233421281
1655820557118;11,82602024;23,96112823;0,149543434
1655820557294;11,82602024;23,96112823;0,149543434
1655820557545;11,82602024;23,96112823;0,149543434
1655820557865;12,24436665;23,6031971;0,191094294
1655820558053;12,24436665;23,6031971;0,191094294
1655820558397;12,67532253;23,27973175;0,25657323
1655820558556;12,67532253;23,27973175;0,25657323
1655820558809;12,67532253;23,27973175;0,25657323
1655820559139;13,3407011;22,87037468;0,394980788
1655820559314;13,3407011;22,87037468;0,394980788
1655820559645;13,92446613;22,5543232;0,140713513
1655820559821;13,92446613;22,5543232;0,140713513
1655820560071;13,92446613;22,5543232;0,140713513
1655820560402;14,37381363;22,29444313;0,081231013
1655820560578;14,37381363;22,29444313;0,081231013
1655820560828;14,37381363;22,29444313;0,081231013
1655820561160;14,86463261;21,90173912;0,124565974
1655820561333;14,86463261;21,90173912;0,124565974
1655820561662;15,44616032;21,53313065;0,068006724
1655820561841;15,44616032;21,53313065;0,068006724
1655820562095;15,44616032;21,53313065;0,068006724
1655820562421;16,06627083;21,13840294;0,239583328
1655820562603;16,06627083;21,13840294;0,239583328
1655820562862;16,06627083;21,13840294;0,239583328
1655820563187;16,39583969;20,69130325;0,200249568
1655820563362;16,39583969;20,69130325;0,200249568
1655820563614;16,39583969;20,69130325;0,200249568
