#Zeitstempel[ms];BeschleunigungX[m/s2];BeschleunigungY[m/s2];BeschleunigungZ[m/s2];GyroskopX[rad/s];GyroskopY[rad/s];GyroskopZ[rad/s]
1655820538939;-2,715532;3,618261;8,777708;0,181043;-0,211569;0,334772
1655820538949;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538959;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538969;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538980;-1,905373;3,243636;8,669223;-0,212372;0,107617;0,349991
1655820538990;-1,282986;2,766385;8,045082;-0,212372;0,107617;0,349991
1655820539001;-1,282986;2,766385;8,045082;-0,212372;0,107617;0,349991
1655820539011;-1,282986;2,766385;8,045082;-0,212372;0,107617;0,349991
1655820539021;-1,290331;2,715552;7,258358;-0,186262;0,383728;0,134547
1655820539031;-1,290331;2,715552;7,258358;-0,186262;0,383728;0,134547
1655820539042;-1,290331;2,715552;7,258358;-0,186262;0,383728;0,134547
1655820539052;-1,776316;3,125046;7,38663;0,013055;0,241554;0,024627
1655820539062;-1,776316;3,125046;7,38663;0,013055;0,241554;0,024627
1655820539072;-1,776316;3,125046;7,38663;0,013055;0,241554;0,024627
1655820539082;-1,776316;3,125046;7,38663;0,187536;0,047054;0,09327
1655820539092;-1,904482;3,386148;7,516328;0,187536;0,047054;0,09327
1655820539103;-1,904482;3,386148;7,516328;0,187536;0,047054;0,09327
1655820539113;-1,904482;3,386148;7,516328;0,054524;0,068504;0,061505
1655820539123;-1,968321;3,779487;7,316163;0,054524;0,068504;0,061505
1655820539133;-1,968321;3,779487;7,316163;0,054524;0,068504;0,061505
1655820539144;-1,968321;3,779487;7,316163;0,054524;0,068504;0,061505
1655820539154;-2,028808;4,163804;8,146424;0,02152;-0,103323;-0,100985
1655820539164;-2,028808;4,163804;8,146424;0,02152;-0,103323;-0,100985
1655820539174;-2,028808;4,163804;8,146424;0,02152;-0,103323;-0,100985
1655820539184;-1,810917;4,298866;8,559673;-0,056933;-0,066288;-0,10945
1655820539195;-1,810917;4,298866;8,559673;-0,056933;-0,066288;-0,10945
1655820539205;-1,810917;4,298866;8,559673;-0,056933;-0,066288;-0,10945
1655820539215;-1,810917;4,298866;8,559673;0,010489;0,04215;-0,087912
1655820539225;-1,679169;4,3945;8,570103;0,010489;0,04215;-0,087912
1655820539235;-1,679169;4,3945;8,570103;0,010489;0,04215;-0,087912
1655820539246;-1,679169;4,3945;8,570103;0,010489;0,04215;-0,087912
1655820539256;-1,863599;4,426065;9,361835;0,12144;-0,091979;-0,227661
1655820539266;-1,863599;4,426065;9,361835;0,12144;-0,091979;-0,227661
1655820539277;-1,863599;4,426065;9,361835;0,12144;-0,091979;-0,227661
1655820539287;-1,962786;4,414477;10,064219;0,199107;-0,238499;-0,333288
1655820539297;-1,962786;4,414477;10,064219;0,199107;-0,238499;-0,333288
1655820539307;-1,962786;4,414477;10,064219;0,199107;-0,238499;-0,333288
1655820539317;-2,241155;4,43999;10,341725;0,114895;-0,006877;-0,271346
1655820539327;-2,241155;4,43999;10,341725;0,114895;-0,006877;-0,271346
1655820539338;-2,241155;4,43999;10,341725;0,114895;-0,006877;-0,271346
1655820539348;-2,241155;4,43999;10,341725;0,1176;0,048747;-0,133832
1655820539358;-2,616106;4,755344;9,960903;0,1176;0,048747;-0,133832
1655820539368;-2,616106;4,755344;9,960903;0,1176;0,048747;-0,133832
1655820539378;-2,616106;4,755344;9,960903;0,1176;0,048747;-0,133832
1655820539388;-2,368584;4,275834;11,398325;0,037594;-0,569658;-0,194168
1655820539399;-2,368584;4,275834;11,398325;0,037594;-0,569658;-0,194168
1655820539410;-2,368584;4,275834;11,398325;0,037594;-0,569658;-0,194168
1655820539420;-1,773797;3,728921;11,339581;-0,064891;-0,379033;-0,22684
1655820539430;-1,773797;3,728921;11,339581;-0,064891;-0,379033;-0,22684
1655820539441;-1,773797;3,728921;11,339581;-0,064891;-0,379033;-0,22684
1655820539451;-1,347179;2,943853;10,230557;-0,226142;0,239354;-0,149714
1655820539461;-1,347179;2,943853;10,230557;-0,226142;0,239354;-0,149714
1655820539472;-1,347179;2,943853;10,230557;-0,226142;0,239354;-0,149714
1655820539482;-1,347179;2,943853;10,230557;0,016895;0,1627;-0,112277
1655820539492;-1,584751;2,745;8,832143;0,016895;0,1627;-0,112277
1655820539502;-1,584751;2,745;8,832143;0,016895;0,1627;-0,112277
1655820539512;-1,584751;2,745;8,832143;0,016895;0,1627;-0,112277
1655820539522;-1,43881;2,603503;9,100466;0,252671;-0,200521;-0,084038
1655820539532;-1,43881;2,603503;9,100466;0,252671;-0,200521;-0,084038
1655820539543;-1,43881;2,603503;9,100466;0,252671;-0,200521;-0,084038
1655820539553;-1,092867;2,900269;7,981014;0,276443;-0,251851;-0,023161
1655820539563;-1,092867;2,900269;7,981014;0,276443;-0,251851;-0,023161
1655820539573;-1,092867;2,900269;7,981014;0,276443;-0,251851;-0,023161
1655820539583;-1,106092;3,197428;7,564136;0,046949;-0,086725;-0,015132
1655820539594;-1,106092;3,197428;7,564136;0,046949;-0,086725;-0,015132
1655820539604;-1,106092;3,197428;7,564136;0,046949;-0,086725;-0,015132
1655820539614;-1,106092;3,197428;7,564136;-0,088715;-0,064071;-0,164183
